2020-02-06 14:07:29 DEBUG CricketDataReaderDAOFactory:35  - Creating new instance for delivery..
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2013,Delhi Daredevils,211,52,2245
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2013,Kolkata Knight Riders,222,57,2290
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2013,Royal Challengers Bangalore,230,106,2601
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2013,Mumbai Indians,253,117,2975
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2013,Sunrisers Hyderabad,196,54,2318
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2013,Pune Warriors,190,76,2262
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2013,Rajasthan Royals,267,70,2705
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2013,Chennai Super Kings,241,84,2778
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2013,Kings XI Punjab,244,65,2428
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2014,Kolkata Knight Riders,223,77,2499
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2014,Mumbai Indians,197,86,2353
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2014,Delhi Daredevils,177,63,2081
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2014,Royal Challengers Bangalore,165,92,2093
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2014,Chennai Super Kings,205,112,2650
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2014,Kings XI Punjab,262,127,2987
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2014,Sunrisers Hyderabad,167,72,2102
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2014,Rajasthan Royals,167,86,2166
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2015,Mumbai Indians,242,120,2734
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2015,Kolkata Knight Riders,206,64,2044
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2015,Chennai Super Kings,249,96,2725
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2015,Delhi Daredevils,188,84,2168
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2015,Rajasthan Royals,188,65,2143
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2015,Kings XI Punjab,147,79,2018
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2015,Sunrisers Hyderabad,185,79,2210
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2015,Royal Challengers Bangalore,206,105,2311
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2016,Mumbai Indians,185,93,2194
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2016,Rising Pune Supergiants,171,68,2063
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2016,Delhi Daredevils,179,65,2104
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2016,Kolkata Knight Riders,194,65,2263
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2016,Kings XI Punjab,191,54,2134
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2016,Gujarat Lions,242,63,2450
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2016,Royal Challengers Bangalore,240,142,2981
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:?   - 2016,Sunrisers Hyderabad,231,89,2673
2020-02-06 14:07:34 DEBUG TestCricketServiceImpl:54  - TOTAL ALL SCORES : 194314
